Comment

Detector model,Serial number,Logging start date/time,Logging interval (value),Logging interval (unit),Number of log data
XP-3340II,20100004,2025/07/25 11:20:04,1,1 sec.,9311

full scale,Concentration unit,Gas name,AL1 set value,AL2 set value
100,Vol%,Hydrogen,0.0,100.0

time,Temperature,Humidity,Sensor1 AL1,Sensor1 AL2,Sensor1 Error,Sensor1 Reference concentration,Sensor1 Overrange,Sensor1 Gas concentration
2025/07/25 11:20:04.000,21,60,0,0,0,0,0,0
2025/07/25 11:20:05.000,21,60,0,0,0,0,0,0
2025/07/25 11:20:06.000,21,60,0,0,0,0,0,0
2025/07/25 11:20:07.000,21,60,0,0,0,0,0,0
2025/07/25 11:20:08.000,21,60,0,0,0,0,0,0
2025/07/25 11:20:09.000,21,60,0,0,0,0,0,0
2025/07/25 11:20:10.000,21,61,0,0,0,0,0,0
2025/07/25 11:20:11.000,21,61,0,0,0,0,0,0
2025/07/25 11:20:12.000,21,60,0,0,0,0,0,0
2025/07/25 11:20:13.000,21,60,0,0,0,0,0,0
2025/07/25 11:20:14.000,21,60,0,0,0,0,0,0
2025/07/25 11:20:15.000,21,60,0,0,0,0,0,0
2025/07/25 11:20:16.000,21,61,0,0,0,0,0,0
2025/07/25 11:20:17.000,21,60,0,0,0,0,0,0
2025/07/25 11:20:18.000,21,60,0,0,1,0,0,0
2025/07/25 11:20:19.000,21,61,0,0,1,0,0,0
2025/07/25 11:20:20.000,21,61,0,0,1,0,0,0
2025/07/25 11:20:21.000,22,61,0,0,1,0,0,0
2025/07/25 11:20:22.000,21,61,0,0,1,0,0,0
2025/07/25 11:20:23.000,21,61,0,0,1,0,0,0
2025/07/25 11:20:24.000,21,61,0,0,0,0,0,0
2025/07/25 11:20:25.000,21,60,0,0,0,0,0,0
2025/07/25 11:20:26.000,21,60,0,0,0,0,0,0
2025/07/25 11:20:27.000,21,60,0,0,0,0,0,0
2025/07/25 11:20:28.000,21,60,0,0,0,0,0,0
