PX409-USBH - 487885,,PX409-USBH - 487884,
Units:,psi,Units:,psi
Custom Scalar:,none,Custom Scalar:,none
Custom Offset:,none,Custom Offset:,none
Start:,2025-07-28 11:27:04.244,Start:,2025-07-28 11:27:04.114
End:,2025-07-28 01:41:03.461,End:,2025-07-28 01:41:03.388
Count:,40464,Count:,40455
Low:,-14.6091842651367,Low:,-15.5867481231689
High:,1521.8125,High:,1518.83020019531

Time,Value,Time,Value
2025-07-28 11:27:04.244 AM,-14.4562091827393,2025-07-28 11:27:04.114 AM,-15.4012699127197
2025-07-28 11:27:04.442 AM,-14.4635314941406,2025-07-28 11:27:04.313 AM,-15.3923206329346
2025-07-28 11:27:04.641 AM,-14.452953338623,2025-07-28 11:27:04.512 AM,-15.3695430755615
2025-07-28 11:27:04.840 AM,-14.4472579956055,2025-07-28 11:27:04.711 AM,-15.3727970123291
2025-07-28 11:27:05.039 AM,-14.4448165893555,2025-07-28 11:27:04.909 AM,-15.3662891387939
2025-07-28 11:27:05.237 AM,-14.4252872467041,2025-07-28 11:27:05.108 AM,-15.3972015380859
2025-07-28 11:27:05.436 AM,-14.4236602783203,2025-07-28 11:27:05.307 AM,-15.4183540344238
2025-07-28 11:27:05.635 AM,-14.4195919036865,2025-07-28 11:27:05.506 AM,-15.4061508178711
2025-07-28 11:27:05.833 AM,-14.4204063415527,2025-07-28 11:27:05.704 AM,-15.4126586914063
2025-07-28 11:27:06.032 AM,-14.4220333099365,2025-07-28 11:27:05.903 AM,-15.4045238494873
2025-07-28 11:27:06.231 AM,-14.4350528717041,2025-07-28 11:27:06.102 AM,-15.3947620391846
2025-07-28 11:27:06.429 AM,-14.4488849639893,2025-07-28 11:27:06.300 AM,-15.4028968811035
2025-07-28 11:27:06.628 AM,-14.4399337768555,2025-07-28 11:27:06.499 AM,-15.3955745697021
2025-07-28 11:27:06.827 AM,-14.4814338684082,2025-07-28 11:27:06.698 AM,-15.3736114501953
2025-07-28 11:27:07.025 AM,-14.4700412750244,2025-07-28 11:27:06.897 AM,-15.3719844818115
2025-07-28 11:27:07.224 AM,-14.4700412750244,2025-07-28 11:27:07.095 AM,-15.3695430755615
2025-07-28 11:27:07.423 AM,-14.460277557373,2025-07-28 11:27:07.294 AM,-15.3565273284912
2025-07-28 11:27:07.621 AM,-14.4350528717041,2025-07-28 11:27:07.493 AM,-15.3679161071777
2025-07-28 11:27:07.820 AM,-14.4472579956055,2025-07-28 11:27:07.692 AM,-15.3768653869629
